name	x	y	z	size	chan_num	FS_label	FS_vol	FS_ind	WMvsGM	LvsR	sEEG_ECoG	Desikan_Killiany	DK_ind	DK_lobe	Destrieux	Destr_ind	Destr_long	Yeo7	Yeo7_ind	Yeo17	Yeo17_ind	PTD_ind	surr_GM_vox	surr_WM_vox	LEPTO_coord_1	LEPTO_coord_2	LEPTO_coord_3	MNI_coord_1	MNI_coord_2	MNI_coord_3	MGRID_coord_1	MGRID_coord_2	MGRID_coord_3	subINF_coord_1	subINF_coord_2	subINF_coord_3	fsaverageINF_coord_1	fsaverageINF_coord_2	fsaverageINF_coord_3	ScannerNativeRAS_coord_1	ScannerNativeRAS_coord_2	ScannerNativeRAS_coord_3	sub_name
LaTh1	-5.573146658769218	-6.500451710661309	0.0850901394454979	3.5 mm	1	LaTh1	Left-Thalamus-Proper	10	WM	L	sEEG	Left-Thalamus-Proper	Left-Thalamus-Proper	Left-Thalamus-Proper	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-2.4	-4.6	-7.2	-5.573146658769218	-6.500451710661309	0.0850901394454979	131.4	136.2	133.6	48.64552688598633	25.28572654724121	-7.989727020263672	38.82834243774414	22.07668876647949	-24.75578689575196	-5.180342102050787	16.379492187500006	-9.967539978027332	sub-08 LaTh1
LaTh2	-7.733556332769211	-5.198256129661317	0.7200382714455031	3.5 mm	2	LaTh2	Left-Thalamus-Proper	10	WM	L	sEEG	Left-Thalamus-Proper	Left-Thalamus-Proper	Left-Thalamus-Proper	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-4.333	-3.667	-6.0	-7.733556332769211	-5.198256129661317	0.7200382714455031	133.333	135.0	132.667	48.99029922485352	27.09552001953125	-6.240126132965088	39.074668884277344	23.178958892822266	-24.4348373413086	-7.11334210205078	17.3124921875	-8.767539978027344	sub-08 LaTh2
LaTh3	-11.822284058769242	-2.9429713106613065	1.7210199394454833	3.5 mm	3	LaTh3	Left-Thalamus-Proper	10	WM	L	sEEG	Left-Thalamus-Proper	Left-Thalamus-Proper	Left-Thalamus-Proper	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-8.0	-2.0	-4.0	-11.822284058769242	-2.9429713106613065	1.7210199394454833	137.0	133.0	131.0	49.3129768371582	29.663637161254883	-4.179320812225342	39.54696273803711	26.38969993591309	-24.13526725769043	-10.78034210205078	18.9794921875	-6.767539978027344	sub-08 LaTh3
LaTh4	-15.192931058769233	-0.3729383106613184	2.558630939445493	3.5 mm	4	LaTh4	Left-Cerebral-White-Matter	2	GM	L	sEEG	undefined	undefined	undefined	Unknown	Unknown	Unknown	FreeSurfer_Defined_Medial_Wall	0	FreeSurfer_Defined_Medial_Wall	1	-0.6296296	5.0	22.0	-11.0	0.0	-2.0	-15.192931058769233	-0.3729383106613184	2.558630939445493	140.0	131.0	129.0	50.092315673828125	32.644962310791016	2.124263286590576	14.848875999450684	32.23284149169922	-51.53302764892578	-13.78034210205078	20.9794921875	-4.767539978027344	sub-08 LaTh4
LaTh5	-18.550706558769235	1.7557596893386886	3.645009439445488	3.5 mm	5	LaTh5	Left-Cerebral-White-Matter	2	WM	L	sEEG	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Depth	Depth	Depth	Depth	Depth	Depth	Depth	-1.0	0.0	22.0	-14.0	1.5	0.0	-18.550706558769235	1.7557596893386886	3.645009439445488	143.0	129.0	127.5	50.3402099609375	34.744041442871094	5.351572036743164	11.526195526123049	35.69684982299805	-52.785606384277344	-16.78034210205078	22.4794921875	-2.767539978027344	sub-08 LaTh5
LaTh6	-21.90848205876924	3.8844576893386886	4.731387939445483	3.5 mm	6	LaTh6	Left-Cerebral-White-Matter	2	WM	L	sEEG	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Depth	Depth	Depth	Depth	Depth	Depth	Depth	-1.0	0.0	16.0	-17.0	3.0	2.0	-21.90848205876924	3.8844576893386886	4.731387939445483	146.0	127.0	126.0	-14.507627487182615	44.59966659545898	5.973794460296631	-12.667218208312988	37.21150207519531	-25.38149070739746	-19.78034210205078	23.9794921875	-0.7675399780273438	sub-08 LaTh6
LaTh7	-25.26625755876921	6.013155689338689	5.817766439445506	3.5 mm	7	LaTh7	Left-Putamen	12	WM	L	sEEG	Left-Putamen	Left-Putamen	Left-Putamen	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-20.0	4.5	4.0	-25.26625755876921	6.013155689338689	5.817766439445506	149.0	125.0	124.5	-13.599936485290527	44.78671646118164	4.390456199645996	-12.637313842773438	37.50072479248047	-24.5666732788086	-22.78034210205078	25.4794921875	1.2324600219726562	sub-08 LaTh7
LaTh8	-29.168750558769204	8.126247189338692	6.902414439445465	3.5 mm	8	LaTh8	Left-Cerebral-White-Matter	2	WM	L	sEEG	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Depth	Depth	Depth	Depth	Depth	Depth	Depth	-1.0	0.0	18.0	-23.5	6.0	6.0	-29.168750558769204	8.126247189338692	6.902414439445465	152.5	123.0	123.0	-13.94654941558838	46.9734992980957	6.394184589385986	-12.580044746398926	38.3968505859375	-23.464738845825195	-26.28034210205078	26.9794921875	3.232460021972656	sub-08 LaTh8
LaTh9	-32.539397558769224	10.69628018933868	7.740025439445503	3.5 mm	9	LaTh9	Left-Cerebral-White-Matter	2	GM	L	sEEG	insula	36	Insula	S_circular_insula_sup	50	Superior segment of the circular sulcus of the insula	Ventral Attention	5	17Networks_7	8	-0.5555556	6.0	21.0	-26.5	8.0	8.0	-32.539397558769224	10.69628018933868	7.740025439445503	155.5	121.0	121.0	-13.090744018554688	54.67480850219727	9.638314247131348	-12.522162437438965	40.22565460205078	-22.58928680419922	-29.28034210205078	28.9794921875	5.232460021972656	sub-08 LaTh9
LaTh10	-35.88430155876921	12.383643189338692	9.075171439445512	3.5 mm	10	LaTh10	ctx-lh-insula	1035	GM	L	sEEG	insula	36	Insula	S_circular_insula_sup	50	Superior segment of the circular sulcus of the insula	Ventral Attention	5	17Networks_7	8	1.0	25.0	0.0	-29.5	9.0	10.0	-35.88430155876921	12.383643189338692	9.075171439445512	158.5	119.0	120.0	-16.572811126708984	53.51056671142578	13.99070930480957	-17.434314727783203	42.11541366577149	-13.672736167907717	-32.28034210205078	29.9794921875	7.232460021972656	sub-08 LaTh10
